Star,Planet,RA,Dec,Vmag,Jmag,Spectral Type,Star Rotation Period [d],Planet Radius [R_Earth],Transit Depth [pct]
GJ 3090,b,20.4384281,-46.7147234,11.403,8.168,M2,,2.13,0.140
GJ 3470,b,119.7735021,15.391209,12.332,8.794,M1.5,,4.57,0.52
HAT-P-11,b,297.7101763,48.0818635,9.46,7.608,K,,4.90,0.33
HAT-P-12,b,209.3886452,43.49331,12.665,10.794,K4,,10.75,1.977
HAT-P-18,b,256.346376,33.0123251,12.597,10.822,K2,,11.15,2.179
HAT-P-26,b,213.1565508,4.0594175,11.757,10.08,G,,7.06,0.54
L 98-59,c,124.5328604,-68.3144658,11.685,7.933,M3,80.9,1.39,0.166
TOI-2076,b,217.3920159,39.7903991,9.139,7.613,G,7.21,2.39,0.105
TOI-244,b,10.5697537,-36.7179743,12.861,8.827,M2.5,53.3,1.52,0.106
TOI-270,d,68.4160804,-51.9573937,12.603,9.099,M3,,2.13,0.090
TOI-3884,b,181.5718341,12.5070258,15.744,11.127,M,,6.43,3.074
TOI-5205,b,313.7706819,24.360977,15.899,11.926,M4.0,,11.6,6.805
TOI-674,b,164.5865592,-36.8581092,14.203,10.359,M2,52.0,5.25,1.110
TOI-700,c,97.0957165,-65.5786149,13.151,9.469,M2.5,,2.6,0.329
TOI-942,b,76.6496172,-20.2456126,11.982,10.231,K2.5,3.39,3.89,0.148
TOI-942,c,76.6496172,-20.2456126,11.982,10.231,K2.5,3.39,4.67,0.229
WASP-107,b,188.3864277,-10.1462141,11.592,9.378,K6,17.0,10.4,2.091
WASP-52,b,348.4947931,8.7610793,12.192,10.588,K2,,14.24,2.71
WASP-69,b,315.0259661,-5.094857,9.873,8.032,K5,23.07,12.44,1.8
WASP-80,b,303.1667996,-2.1444369,11.841,9.218,K7,,11.20,2.937
