Star,Planet,RA,Dec,Vmag,Jmag,Spectral Type,Star Rotation Period [d],Planet Radius [R_Earth],Transit Depth [pct]
WASP-69,b,315.025966,-5.094857,9.873,8.032,K5,23.07,12.44,1.8
WASP-107,b,188.386428,-10.146214,11.592,9.378,K6,17.0,10.54,2.5549
HIP 65 A,b,0.1856063,-54.830823,11.0,8.922,K4,13.2,22.75,8.2
TOI-3884,b,181.571834,12.5070258,15.744,11.127,M4,,6.0,3.074
GJ 1214,b,258.831399,4.9606795,15.1,9.75,M4,124.7,2.74,1.3430
WASP-177,b,334.796989,-1.8344301,12.312,10.654,K2,,17.71,1.85
WASP-80,b,303.1668,-2.1444369,11.841,9.218,M0,,11.2,2.937
WASP-52,b,348.494793,8.7610793,12.192,10.588,K2,,14.24,2.71
TOI-942,b,76.6496172,-20.245613,11.982,10.231,K2.5,3.39,3.89,0.148
K2-198,b,198.843682,-6.4649888,10.971,9.741,K,,4.19,0.2737
L 98-59,d,124.53286,-68.314466,11.685,7.933,M3,78.0,1.58,0.1542
TOI-2427,b,52.2917315,-31.362867,10.295,7.889,K,,1.8,0.056
TOI-1685,b,68.5939529,43.0370395,13.378,9.616,M3.0,18.66,1.7,0.125437
TOI-836,b,225.079883,-24.454202,9.92,7.58,K,21.99,1.7,0.058
TOI-1416,b,216.923489,41.9529862,9.91,8.266,G9,17.6,1.62,0.0455
HD 3167,b,8.7401487,4.3807215,8.97,7.548,K0,23.52,1.67,0.0294
TOI-776,b,178.577997,-37.553357,11.536,8.483,M1,34.4,1.85,0.1063
GJ 9827,b,351.771776,-1.2853435,10.37,7.984,K6,28.9,1.58,0.0586
TOI-244,b,10.5697537,-36.717974,12.861,8.827,M2.5,53.3,1.52,0.106
LTT 1445 A,c,45.4624781,-16.594496,10.59,7.294,M3.0,,1.15,0.157
